path	apply_exit	text_status
CMakeLists.txt	1	conflict
MYSQL_VERSION	1	conflict
cmake/mysql_version.cmake	0	applies
include/m_ctype.h	1	conflict
include/m_string.h	1	conflict
include/my_base.h	0	applies
include/my_sqlcommand.h	1	conflict
include/mysql/plugin_audit.h.pp	1	conflict
include/mysql_version.h.in	0	applies
mysql-test/CMakeLists.txt	0	applies
mysql-test/include/default_mysqld.cnf	0	applies
mysql-test/include/wait_condition.inc	0	applies
mysql-test/mysql-test-run.pl	1	conflict
mysql-test/r/mysqld--help-notwin.result	0	applies
mysql-test/suite/funcs_1/t/is_engines.test	0	applies
mysql-test/suite/rpl/t/rpl_drop_scheduled_event.test	0	applies
mysys/CMakeLists.txt	1	conflict
mysys/my_handler_errors.h	0	applies
mysys/print_version.cc	0	applies
plugin/clone/CMakeLists.txt	1	conflict
plugin/clone/src/clone_plugin.cc	0	applies
scripts/CMakeLists.txt	1	conflict
scripts/mysql_system_tables.sql	1	conflict
share/messages_to_clients.txt	1	conflict
share/messages_to_error_log.txt	1	conflict
sql/CMakeLists.txt	1	conflict
sql/basic_istream.h	0	applies
sql/binlog.cc	1	conflict
sql/binlog.h	128	conflict
sql/binlog_reader.cc	128	conflict
sql/dd/impl/system_registry.cc	0	applies
sql/dd/impl/upgrade/server.cc	1	conflict
sql/dd/upgrade/server.h	0	applies
sql/dd_table_share.cc	0	applies
sql/event_parse_data.cc	1	conflict
sql/handler.cc	0	applies
sql/handler.h	1	conflict
sql/log.cc	1	conflict
sql/log.h	0	applies
sql/log_event.h	128	conflict
sql/mysqld.cc	1	conflict
sql/mysqld.h	1	conflict
sql/parse_tree_nodes.cc	1	conflict
sql/range_optimizer/range_optimizer.cc	0	applies
sql/rpl_commit_stage_manager.cc	0	applies
sql/rpl_context.h	0	applies
sql/rpl_gtid_state.cc	0	applies
sql/rpl_replica.cc	0	applies
sql/rpl_replica.h	0	applies
sql/sp.cc	1	conflict
sql/sql_class.cc	0	applies
sql/sql_class.h	0	applies
sql/sql_db.cc	0	applies
sql/sql_parse.cc	1	conflict
sql/sql_prepare.cc	0	applies
sql/sql_show.cc	1	conflict
sql/sql_table.cc	0	applies
sql/sql_yacc.yy	1	conflict
sql/sys_vars.cc	1	conflict
sql/sys_vars.h	0	applies
sql/udf_service_impl.cc	0	applies
strings/ctype-simple.cc	1	conflict
strings/ctype-uca.cc	0	applies
strings/ctype-utf8.cc	0	applies
strings/int2str.cc	1	conflict
SUMMARY	0	total=65 applies=33 conflicts=32
